File name,Original_node,Original_edge,Pruning_node,Pruning_edge,Reduction_node,Reduction_edge
C242983BDF8724EC39BE2B4CBA4B90C14F17AF15534CF9F7AE362DA6BDB9F441.apk,101,111,101,111,0,0
6D1AAFEA3D2153DDAF1D075589591B61A3235EDC8635874D2B8CBDDC77DF77A1.apk,98,104,98,104,0,0
0DDA68C74B9FB286A77A5D3EEEBFC8FF94A6A69F37430D659235B82BEB4C3794.apk,14175,33639,762,6711,13413,26928
2F636A27B94238F17B048EB9681E4F196ACF8DCD97B7AF4CDC1F309622E2E424.apk,101,111,101,111,0,0
1D89CC645D82A61737612BC69F1FDBCFB5417951CAF8EAA0AD96E4CBD347C74C.apk,14176,33640,762,6711,13414,26929
9DD8D08AA9127EB205720531491B1D59287245FED11BBFDFE27F170A8A3C41BB.apk,2133,8845,840,5684,1293,3161
03DFD33BEE9145D5F7D7E7F7A241EDAF8A0E8EA24AB52E51775358B12E1019F6.apk,98,104,98,104,0,0
5E2B9D479F8B6C38F895519C4D8A9B83EABCF6791995E5104FBEC19F3B5AEAFA.apk,2782,9410,930,5610,1852,3800
B0E980E6442AB3C29E5C08AFB59F031F1B1B6045FFB3236A6F15E5720FD0D1C2.apk,98,104,98,104,0,0
C5632513EFEF2E5E344A2436EE6F6EA33910AD405C8EA0746A050FD9C1DF8633.apk,98,104,98,104,0,0
C5FD314BC9DCEA4D0F4904C582112E90D8926372B560766550755D3CE24ED64F.apk,2133,8845,840,5684,1293,3161
C654BA0947633AE1E8F0D03BF8C2E5513207B6DA47699E718F4BEE6025C363C7.apk,2133,8845,840,5684,1293,3161
2DB5F192AC8315F93BFDDB022DC878DBF0B76D676029E9F3CE322A5926E51BEE.apk,97,107,97,107,0,0
5DCBEF7349AD8854686E16B3C34BEE72D935BF6980E4F221084CD20C7E0FF4FD.apk,98,104,98,104,0,0
07087AF45385E436BEDCA9F61E165DA8C4DA29AF7494E94E51180745603D58EE.apk,2782,9410,930,5610,1852,3800
0F83FD5B36C8CF1C3731B8EA2E838182162E50C11D41D0959417FAC9657A4CE5.apk,101,111,101,111,0,0
274BA9FFA20AE60754D030B4096F17B8833C6ACB3D09D4004AB5A325B4FD3CF6.apk,98,104,98,104,0,0
932A911C9D210B767BDC2C60A64BF5C6E5112EF6844B5C2784FDA5D9B32992C4.apk,2782,9410,930,5610,1852,3800
4D23F58EFA3E6CE0D2F42269BFABB72A98D52EE64EA7231CE351E21CDC6D9CEB.apk,98,104,98,104,0,0
420FC6C37BA072CD77C536951434360DFDADA860C183C1A3518A572C858DD874.apk,2782,9410,930,5610,1852,3800
5C0117B0E959D40535F52641C6C5BA53D8182B185D0BCBD92F554F69211A5B59.apk,119,158,119,158,0,0
51C97D34076D4523F8A23E5159ED52FB59219632E5FE6BB370E5BC645B49112F.apk,98,104,98,104,0,0
49BB742EBDC8B1A355CC2462119BEA58976EA0D2B1A76D4FD1C545B8EA552F13.apk,119,158,119,158,0,0
E438B1F844C3B7B40FBC42A4AB921FF07AADC27ADFD980145CFF4DE6CDFD85FC.apk,119,158,119,158,0,0
DB33D9EA82A587009EA4CCC746A91A8CDA05FBE8A5CEE00CE828F5E2CC3AF15C.apk,101,111,101,111,0,0
AEF5B31B1DC1D4ABA367CF3A52259351B7368E0369EC7247ED7A0AA54EF67D99.apk,98,104,98,104,0,0
91B5DADD8810EC0FEF21C2AF165EB67A92AC49162CD624794170BA3D830F24B8.apk,119,158,119,158,0,0
9EBE581A4A0CD0C218C725B02AEEE23000DE6C0C2FA333FB79ABB184FDC70D4F.apk,101,111,101,111,0,0
D205BDF3CEB12C4E80D2E1DE9A489B8606D99D04E13F71DE8121917C5635B776.apk,2782,9410,930,5610,1852,3800
1C638033A8EAB904EE548C81A85DE3217DCF9C5C57EB26BCD797363116C791B2.apk,6740,15866,929,4762,5811,11104
AE84737C53F342FE1B23E598DC28BC43C2DA15B245F6B7CFBDA5DD97A66281B7.apk,97,107,97,107,0,0
0534666F5605D97464402E60A104D1A9EB0B5C5CA81CFE338329BDC24476B2E4.apk,84,92,84,92,0,0
BFDA354CC7F734A47B1F6E72B97D06EDA1B8D7259CB24B366B76107D28B89F9C.apk,98,104,98,104,0,0
3C7B8F609BEDE000C2B409CC996DCB0931125F0D5A3C242DD2125E5AFF9826FB.apk,98,104,98,104,0,0
D809B138DFFB43132118D7F2CBC7D577D5CC47A75764635F5C291930975C9753.apk,98,104,98,104,0,0
D4EE55F4DFD1586B57BBD262A2D1790E0F8B399F59CD1A48456D651BDE0A7B75.apk,98,104,98,104,0,0
A3EAB8A4F69927DE42634EAD2ABD0D3C72F26CBE2E1B92D47E05968402DEF625.apk,119,158,119,158,0,0
D1238C1177F00CD5E26C87D0EFF97230356A6BBF936FA64D5DFB2FDE419D5FF4.apk,119,158,119,158,0,0
21F4544FEE0F829A06424DFB2CE18F97509A4DC14F9D5610330AEAB37AA29FE7.apk,86,91,86,91,0,0
E3E0ED483E3B47CA549D49505E6B1551BA6684E98D6B8CBEDE6C62949EC8B490.apk,119,158,119,158,0,0
411AC7934130237086C0898ECABF900CC2BDF5AE292E8FEDE43B9C03EBC9E2AC.apk,98,104,98,104,0,0
9999CC8764C6334D030E7A3FB13E1B06806505E8D157A8966F85C7C5C963133A.apk,14175,33639,762,6711,13413,26928
6C378FFDBA4F7A9C4A9A24A1551A594E968717FB7B99A101B44233C196E7AD5C.apk,98,104,98,104,0,0
E786EBA2C407E5B8D6E00F24049B70EC46F1FA249F148155E40572B4C3445365.apk,24985,60434,847,5388,24138,55046
1D10CCE2672B104DFE9E6015526E496247BB4BCCDBE0C7857768DC1B8C97FC77.apk,23824,49216,752,4448,23072,44768
1295BB0355AD797C9E1AF06078EE311A571175912A2E9C5CB135B9A14F2527B3.apk,98,104,98,104,0,0
E5CDF92DB4CFCC209097983D5E9F48DBA08E5D34EA36C3CDC7D226D0073FEE2B.apk,98,104,98,104,0,0
F063C40948F265E76279445DC131704F3A301654B60C30471D43BFD586630CF5.apk,131,186,131,186,0,0
F649432448C3BFBD6B470781E2D5E69C1B398290ECD0893DBCBEE1A9CDB1E398.apk,2133,8845,840,5684,1293,3161
E4D8A180E3775F0BF0E993E47AC5589D3C0ACF4912D1583B45723AB06CF84A88.apk,98,104,98,104,0,0
756B7B45B3DF12704D5DEE15B4FEA914F10FC6506DA3137EDFDFEF231951B5E3.apk,101,111,101,111,0,0
8A34270A037E462DF4698D8DC585F73F4A2DBF7E8BBA1BA6686965B6F36C9303.apk,101,111,101,111,0,0
3B927400788ED83CEBBC963FEA6E1653EEAB8A647E925AE66C5D73789194D375.apk,98,104,98,104,0,0
F03176B7A0B2515E8B5F9517018F03B53267A14B8D65E34E807060FDEA488D6F.apk,131,186,131,186,0,0
FF2B37143226A6ED5F384BFEDDAD492EC8AE37AAF8C927DA6F9A33093B87950C.apk,98,104,98,104,0,0
67EE154FC8A09D00D0AE5FF221B65F43EB895973A05F16E494F890DB13566DBB.apk,131,186,131,186,0,0
311F8DA7B3FF53C63ACACF25C033DC6619ABFBF7300E0082317764CAF9742DDD.apk,98,104,98,104,0,0
96D63A7E43484DF0303DD7115B8FB5828400AF8EA686B901EF8D1C5574AE73B1.apk,119,158,119,158,0,0
EF25181CEB8B59CE2E07100FA52524BECAEC051456958CEBCC0BC2CAAAC90395.apk,119,158,119,158,0,0
B7CA2CF380A5FB46D876CD861771CEB2AC09A2C3C6C7553D446EF4D7B11FEBC0.apk,7650,17052,614,3014,7036,14038
BDCF7C8B8126C11337C148280F12816F4C4E347A3D898DFB4833A6FF39CD9948.apk,98,104,98,104,0,0
78ECC9D7F50C4E1402CB9CC50668935E13C7DE2FACE36C8216723A33D683C6EB.apk,119,158,119,158,0,0
605BC160D9FD42F8D91202535E46855CDD776174E0B525C56B736C3B48B0C121.apk,18906,44998,912,8494,17994,36504
05B0FB8697D392F637325EF5369D1F61EDAD6A954F9EF1A7ADD4D124E95210E5.apk,98,104,98,104,0,0
595C29867D56D09CB99332002E5CD144DEF3BD1E00CEB5247529F9E86CD219C3.apk,76,80,76,80,0,0
BC1574E1A9B5F219F09534F7F9517752EE242CCED976DBDE2B31F138AC4783AD.apk,44571,95342,726,4966,43845,90376
E0A0EDFB03C9A82584CAB962BFCF7B57F3DFEAA07DC1C07F304092D9DB52C31A.apk,98,104,98,104,0,0
2DB625127B7E4414C2587AD8BC0028287307D647275568915FE9EFA1BEB6C8CA.apk,98,104,98,104,0,0
B752A690CD07BAAC41E3E2BAFEBE1A8E294B196894036706D949B7AADB04948C.apk,46164,110826,897,6401,45267,104425
1637459940C77E963BE8C0425B03A7507E6E4B7D9F4F2044FFA4155161894E4B.apk,98,104,98,104,0,0
